;chromosome;fitness;generation
0;111 001 01 11 001;22.132390096008084;0.0
1;001 001 11 11 001;19.35320869125821;0.0
2;011 010 11 01 101;25.87165234967155;0.0
3;001 101 01 11 001;22.132390096008084;0.0
4;011 010 11 01 111;13.794845881758464;0.0
5;011 101 11 01 011;25.87165234967155;0.0
6;111 001 01 01 110;22.132390096008084;0.0
7;001 011 01 11 101;19.35320869125821;0.0
8;101 110 01 11 011;18.84790298130369;0.0
9;001 111 11 11 101;18.84790298130369;0.0
10;001 110 11 11 001;13.794845881758464;0.0
11;111 011 01 11 101;22.132390096008084;0.0
0;001 111 11 11 101;18.84790298130369;1.0
1;011 101 01 01 011;19.35320869125821;1.0
2;001 001 11 11 001;19.35320869125821;1.0
3;001 011 01 11 101;19.35320869125821;1.0
4;001 001 01 01 001;22.132390096008084;1.0
5;111 011 01 11 101;22.132390096008084;1.0
6;111 001 01 11 001;22.132390096008084;1.0
7;111 001 01 01 110;22.132390096008084;1.0
8;011 101 11 01 011;25.87165234967155;1.0
9;001 101 01 11 001;22.132390096008084;1.0
10;011 010 11 01 101;25.87165234967155;1.0
0;001 001 01 01 001;22.132390096008084;2.0
1;111 011 01 11 101;22.132390096008084;2.0
2;111 001 01 11 001;22.132390096008084;2.0
4;111 001 01 01 110;22.132390096008084;2.0
6;011 010 11 01 101;25.87165234967155;2.0
7;011 011 01 11 110;25.87165234967155;2.0
8;001 101 01 11 001;22.132390096008084;2.0
9;001 001 11 11 101;25.87165234967155;2.0
10;011 101 11 01 011;25.87165234967155;2.0
0;111 001 01 11 001;22.132390096008084;3.0
2;111 011 01 11 101;22.132390096008084;3.0
3;001 101 01 11 001;22.132390096008084;3.0
4;111 001 01 01 110;22.132390096008084;3.0
6;011 101 11 01 011;25.87165234967155;3.0
7;011 011 01 11 110;25.87165234967155;3.0
9;001 001 11 11 101;25.87165234967155;3.0
10;001 001 01 11 101;25.87165234967155;3.0
11;011 010 11 01 101;25.87165234967155;3.0
0;111 011 01 11 101;22.132390096008084;4.0
2;001 101 01 11 001;22.132390096008084;4.0
3;011 101 11 01 011;25.87165234967155;4.0
4;111 001 01 01 110;22.132390096008084;4.0
5;001 001 01 11 101;25.87165234967155;4.0
6;011 001 01 11 001;25.87165234967155;4.0
7;001 001 11 11 101;25.87165234967155;4.0
8;011 010 01 11 001;25.87165234967155;4.0
9;011 011 01 11 110;25.87165234967155;4.0
11;011 010 11 01 101;25.87165234967155;4.0
0;011 011 01 11 110;25.87165234967155;5.0
1;011 010 11 01 101;25.87165234967155;5.0
2;001 001 11 11 101;25.87165234967155;5.0
3;001 001 01 11 110;25.87165234967155;5.0
6;011 010 01 11 001;25.87165234967155;5.0
8;011 001 01 11 001;25.87165234967155;5.0
9;001 001 01 11 101;25.87165234967155;5.0
10;011 101 11 01 011;25.87165234967155;5.0
11;001 011 01 01 101;25.87165234967155;5.0
0;011 001 01 11 101;25.87165234967155;6.0
1;001 001 01 11 110;25.87165234967155;6.0
2;001 001 11 11 101;25.87165234967155;6.0
