;chromosome;fitness;generation
3;011 011 01 11 110;25.87165234967155;6.0
4;011 010 01 11 001;25.87165234967155;6.0
6;011 010 11 01 101;25.87165234967155;6.0
7;011 101 11 01 011;25.87165234967155;6.0
9;011 001 01 11 001;25.87165234967155;6.0
10;001 001 01 11 101;25.87165234967155;6.0
11;001 011 01 01 101;25.87165234967155;6.0
0;011 001 01 11 101;25.87165234967155;7.0
1;001 001 01 11 110;25.87165234967155;7.0
2;001 001 01 11 101;25.87165234967155;7.0
3;011 001 01 11 001;25.87165234967155;7.0
4;001 001 11 11 101;25.87165234967155;7.0
5;011 101 11 01 011;25.87165234967155;7.0
6;011 010 11 01 101;25.87165234967155;7.0
8;011 010 01 11 001;25.87165234967155;7.0
9;011 011 01 11 110;25.87165234967155;7.0
0;011 001 01 11 101;25.87165234967155;8.0
1;011 001 01 11 001;25.87165234967155;8.0
2;001 001 01 11 101;25.87165234967155;8.0
3;011 101 11 01 011;25.87165234967155;8.0
4;011 010 11 01 101;25.87165234967155;8.0
5;001 001 11 11 101;25.87165234967155;8.0
6;001 001 01 11 110;25.87165234967155;8.0
9;011 010 01 11 001;25.87165234967155;8.0
10;011 011 01 11 110;25.87165234967155;8.0
0;011 001 01 11 101;25.87165234967155;9.0
1;011 001 01 11 001;25.87165234967155;9.0
2;011 011 01 11 110;25.87165234967155;9.0
3;011 010 01 11 001;25.87165234967155;9.0
4;001 001 11 11 101;25.87165234967155;9.0
6;001 001 01 11 110;25.87165234967155;9.0
8;011 010 11 01 101;25.87165234967155;9.0
9;011 101 11 01 011;25.87165234967155;9.0
10;001 001 01 11 101;25.87165234967155;9.0
0;011 001 01 11 101;25.87165234967155;10.0
1;011 001 01 11 001;25.87165234967155;10.0
2;001 001 01 11 101;25.87165234967155;10.0
3;011 101 11 01 011;25.87165234967155;10.0
4;011 010 11 01 101;25.87165234967155;10.0
5;001 001 11 11 101;25.87165234967155;10.0
6;001 001 01 11 110;25.87165234967155;10.0
9;011 010 01 11 001;25.87165234967155;10.0
10;011 011 01 11 110;25.87165234967155;10.0
0;011 001 01 11 101;25.87165234967155;11.0
1;011 101 11 01 011;25.87165234967155;11.0
2;001 001 01 11 101;25.87165234967155;11.0
3;001 001 11 11 101;25.87165234967155;11.0
4;001 001 01 11 110;25.87165234967155;11.0
5;011 010 11 01 101;25.87165234967155;11.0
6;011 001 01 11 001;25.87165234967155;11.0
7;011 011 01 11 110;25.87165234967155;11.0
10;011 010 01 11 001;25.87165234967155;11.0
0;011 001 01 11 101;25.87165234967155;12.0
1;011 101 11 01 011;25.87165234967155;12.0
2;011 010 01 11 001;25.87165234967155;12.0
3;001 001 11 11 101;25.87165234967155;12.0
5;011 011 01 11 110;25.87165234967155;12.0
6;011 001 01 11 001;25.87165234967155;12.0
7;011 010 11 01 101;25.87165234967155;12.0
8;001 001 01 11 110;25.87165234967155;12.0
10;001 001 01 11 101;25.87165234967155;12.0
0;001 001 01 11 110;25.87165234967155;13.0
1;001 001 11 11 101;25.87165234967155;13.0
2;011 010 01 11 001;25.87165234967155;13.0
3;011 011 01 11 110;25.87165234967155;13.0
4;011 001 01 11 001;25.87165234967155;13.0
6;011 101 11 01 011;25.87165234967155;13.0
7;001 001 01 11 101;25.87165234967155;13.0
8;011 010 11 01 101;25.87165234967155;13.0
0;001 011 01 01 101;25.87165234967155;14.0
1;011 011 01 11 110;25.87165234967155;14.0
2;011 010 01 11 001;25.87165234967155;14.0
3;001 001 11 11 101;25.87165234967155;14.0
4;011 101 11 01 011;25.87165234967155;14.0
5;011 001 01 11 001;25.87165234967155;14.0
8;001 001 01 11 101;25.87165234967155;14.0
9;011 010 11 01 101;25.87165234967155;14.0
10;001 001 01 11 110;25.87165234967155;14.0
0;001 011 01 01 101;25.87165234967155;15.0
1;001 001 11 11 101;25.87165234967155;15.0
2;011 010 01 11 001;25.87165234967155;15.0
3;011 001 01 11 001;25.87165234967155;15.0
5;011 101 11 01 011;25.87165234967155;15.0
6;011 011 01 11 110;25.87165234967155;15.0
7;001 001 01 11 110;25.87165234967155;15.0
9;001 001 01 11 101;25.87165234967155;15.0
10;011 010 11 01 101;25.87165234967155;15.0
0;001 010 11 01 101;25.87165234967155;16.0
1;011 001 01 11 001;25.87165234967155;16.0
2;011 010 01 11 001;25.87165234967155;16.0
3;011 101 11 01 011;25.87165234967155;16.0
4;011 011 01 11 110;25.87165234967155;16.0
5;001 001 11 11 101;25.87165234967155;16.0
7;011 010 11 01 101;25.87165234967155;16.0
8;001 001 01 11 110;25.87165234967155;16.0
10;001 001 01 11 101;25.87165234967155;16.0
0;001 010 11 01 101;25.87165234967155;17.0
1;011 001 01 11 001;25.87165234967155;17.0
2;001 001 01 11 101;25.87165234967155;17.0
3;001 001 11 11 101;25.87165234967155;17.0
4;001 001 01 11 110;25.87165234967155;17.0
5;011 010 11 01 101;25.87165234967155;17.0
8;011 011 01 11 110;25.87165234967155;17.0
9;011 101 11 01 011;25.87165234967155;17.0
10;011 010 01 11 001;25.87165234967155;17.0
0;011 010 01 01 101;25.87165234967155;18.0
1;001 001 11 11 101;25.87165234967155;18.0
2;001 001 01 11 101;25.87165234967155;18.0
3;011 010 11 01 101;25.87165234967155;18.0
5;001 001 01 11 110;25.87165234967155;18.0
6;011 001 01 11 001;25.87165234967155;18.0
7;011 010 01 11 001;25.87165234967155;18.0
9;011 011 01 11 110;25.87165234967155;18.0
10;011 101 11 01 011;25.87165234967155;18.0
0;011 010 01 01 101;25.87165234967155;19.0
1;001 001 11 11 101;25.87165234967155;19.0
2;011 101 11 01 011;25.87165234967155;19.0
3;011 011 01 11 110;25.87165234967155;19.0
5;011 010 01 11 001;25.87165234967155;19.0
6;011 001 01 11 001;25.87165234967155;19.0
7;001 001 01 11 110;25.87165234967155;19.0
9;011 010 11 01 101;25.87165234967155;19.0
10;001 001 01 11 101;25.87165234967155;19.0
11;001 101 01 01 011;25.87165234967155;19.0
