start_time;run_id;gpu;generation;network;n_conv;dim1;kernel_conv;stride_conv;kernel_pool;stride_pool;n_layers;dim2;train_time;end_time;accuracy;num_epochs;loss_log;test_imgs;errors
2019-06-19 14:06:24.242934;20190619140619;cuda:0;0;Net_0;7;[3, 45, 87, 130, 172, 215, 257, 300];[2, 2, 2, 2, 2, 2, 2];[1, 1, 1, 1, 1, 1, 1];[2, 2, 2, 2, 2, 2, 2];[2, 2, 2, 2, 2, 2, 2];7;[1200, 3000, 2500, 2001, 1502, 1003, 504, 5];0;2019-06-19 14:06:38.490375;26.07377463365336;1;[];1979;no errors
2019-06-19 14:06:40.052437;20190619140619;cuda:0;0;Net_1;5;[3, 62, 121, 181, 240, 300];[3, 3, 3, 3, 3];[1, 1, 1, 1, 1];[2, 2, 2, 2, 2];[3, 3, 3, 3, 3];7;[300, 3000, 2500, 2001, 1502, 1003, 504, 5];0;2019-06-19 14:06:53.126637;22.890348660939868;1;[];1979;no errors
2019-06-19 14:06:54.759383;20190619140619;cuda:0;0;Net_2;4;[3, 77, 151, 225, 300];[4, 4, 4, 4];[1, 1, 1, 1];[2, 2, 2, 2];[3, 3, 3, 3];7;[2700, 3000, 2500, 2001, 1502, 1003, 504, 5];0;2019-06-19 14:07:10.940548;13.03688731682668;1;[];1979;no errors
2019-06-19 14:07:12.567409;20190619140619;cuda:0;0;Net_3;4;[3, 77, 151, 225, 300];[5, 5, 5, 5];[1, 1, 1, 1];[4, 4, 4, 4];[2, 2, 2, 2];6;[43200, 3000, 2401, 1802, 1203, 604, 5];0;2019-06-19 14:07:53.007733;19.050025265285498;1;[];1979;no errors
2019-06-19 14:07:54.524145;20190619140619;cuda:0;0;Net_4;4;[3, 77, 151, 225, 300];[3, 3, 3, 3];[1, 1, 1, 1];[2, 2, 2, 2];[2, 2, 2, 2];5;[58800, 3000, 2251, 1502, 753, 5];0;2019-06-19 14:08:21.724127;13.03688731682668;1;[];1979;no errors
2019-06-19 14:08:23.381049;20190619140619;cuda:0;0;Net_5;4;[3, 77, 151, 225, 300];[6, 6, 6, 6];[1, 1, 1, 1];[4, 4, 4, 4];[2, 2, 2, 2];7;[50700, 3000, 2500, 2001, 1502, 1003, 504, 5];0;2019-06-19 14:09:14.653254;26.07377463365336;1;[];1979;no errors
2019-06-19 14:09:16.238728;20190619140619;cuda:0;0;Net_6;7;[3, 45, 87, 130, 172, 215, 257, 300];[2, 2, 2, 2, 2, 2, 2];[1, 1, 1, 1, 1, 1, 1];[2, 2, 2, 2, 2, 2, 2];[2, 2, 2, 2, 2, 2, 2];7;[1200, 3000, 2500, 2001, 1502, 1003, 504, 5];0;2019-06-19 14:09:30.552864;13.03688731682668;1;[];1979;no errors
2019-06-19 14:09:32.166565;20190619140619;cuda:0;0;Net_7;5;[3, 62, 121, 181, 240, 300];[5, 5, 5, 5, 5];[1, 1, 1, 1, 1];[2, 2, 2, 2, 2];[2, 2, 2, 2, 2];3;[14700, 3000, 1502, 5];0;2019-06-19 14:09:59.868690;13.03688731682668;1;[];1979;no errors
2019-06-19 14:10:01.409719;20190619140619;cuda:0;0;Net_8;4;[3, 77, 151, 225, 300];[2, 2, 2, 2];[1, 1, 1, 1];[3, 3, 3, 3];[2, 2, 2, 2];3;[58800, 3000, 1502, 5];0;2019-06-19 14:10:27.898250;22.890348660939868;1;[];1979;no errors
2019-06-19 14:10:30.457900;20190619140619;cuda:0;1;Net_0;4;[3, 77, 151, 225, 300];[4, 4, 4, 4];[1, 1, 1, 1];[2, 2, 2, 2];[3, 3, 3, 3];4;[2700, 3000, 2001, 1003, 5];0;2019-06-19 14:10:46.239055;13.03688731682668;1;[];1979;no errors
